window_index,time_start,time_end,n_edges,n_blocks,description_length
0,31220,31520,99,2,551.67
1,32420,32720,141,3,833.65
2,33620,33920,186,4,1111.44
3,34820,35120,258,2,1333.57
4,36020,36320,306,4,1387.29
5,37220,37520,349,4,1577.8
6,38420,38720,484,7,1997.35
7,39620,39920,274,5,1416.45
8,40820,41120,183,4,1055.27
9,42020,42320,165,3,939.55
10,43220,43520,373,4,1625.81
11,44420,44720,228,5,1044.38
12,45620,45920,235,4,1055.13
13,46820,47120,373,5,1599.69
14,48020,48320,189,3,951.53
15,49220,49520,196,4,970.57
16,50420,50720,379,2,1693.27
17,51620,51920,100,1,689.39
18,52820,53120,146,2,914.15
19,54020,54320,241,4,1179.04
20,55220,55520,200,3,1040.95
21,56420,56720,412,6,1722.34
22,57620,57920,419,7,1864.02
23,58820,59120,304,4,1443.15
24,60020,60320,172,4,1035.55
25,61220,61520,267,5,1409.86
26,117020,117320,39,1,310.24
27,118220,118520,277,3,1440.55
28,119420,119720,199,5,1131.35
29,120620,120920,185,5,1044.58
30,121820,122120,326,6,1528.02
31,123020,123320,439,6,1801.81
32,124220,124520,371,7,1689.64
33,125420,125720,431,6,1882.88
34,126620,126920,261,4,1221.68
35,127820,128120,213,3,1178.23
36,129020,129320,362,7,1656.66
37,130220,130520,374,3,1476.39
38,131420,131720,271,5,1176.05
39,132620,132920,251,5,1121.48
40,133820,134120,369,3,1480.48
41,135020,135320,230,3,1069.48
42,136220,136520,241,4,1124.18
43,137420,137720,305,6,1487.64
44,138620,138920,134,2,815.81
45,139820,140120,173,3,948.28
46,141020,141320,178,3,946.02
47,142220,142520,205,3,1020.31
48,143420,143720,251,4,1244.99
49,144620,144920,416,4,1867.21
