metric,value
analysis_on_largest_component,False
avg_path_length,1.7325
centralization_betweenness,0.0
centralization_closeness,0.1128
centralization_degree,0.2731
clustering_coefficient,0.5255
degree_max,134
degree_mean,68.7355
degree_median,68.5
degree_min,20
degree_std,26.5709
density,0.28520969788416034
diameter,3
is_connected,True
largest_component_size,242
n_components,1
n_edges,8317
n_nodes,242
sbm_description_length,15827.51
sbm_icl,-11510.71
sbm_n_blocks,18
temporal_avg_active_nodes_per_window,144.45
temporal_avg_edges_per_window,265.09
temporal_duration_minutes,1948.33
temporal_duration_seconds,116900
temporal_max_edges_per_window,554
temporal_min_edges_per_window,12
temporal_n_time_windows,1039
temporal_n_timestamps,3100
temporal_peak_activity_edges,554
temporal_peak_activity_time,38960
temporal_std_edges_per_window,103.32
transitivity,0.4798
